//アドレス指定方法,,,,,,,,,,,,,,
// XY ---- X0　　　　直接I/O 先頭にアドレスタイプ(XorY)その後16進数でアドレス指定(桁数指定無し),,,,,,,,,,,,,,
// C0 ----- C01S00I00　C0C0-Link経由　先頭C0固定，その後ﾕﾆｯﾄ設定番号1桁，その後S固定，その後スレーブ番号16進数2桁，その後I(IN)orO(OUT)，その後アドレス16進数2桁,,,,,,,,,,,,,,
No.,IND1,TRN1,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,BAKE1,BAKE2,EEW1,EEW2,CVP1,IFB1
0,X20,C04S03I00,C04S0CI00,C04S0CI02,C04S0CI04,C04S0CI06,,,V1B0000,V1B0008,C04S0AI00,C04S0BI00,C04S13I00,C04S09I00
1,X24,C04S03I01,C04S0CI01,C04S0CI03,C04S0CI05,C04S0CI07,,,V1B0001,V1B0009,C04S0AI01,C04S0BI01,C04S13I01,C04S09I01
2,X28,C04S03I02,C04S0CI0F,C04S0CI0F,C04S0CI0F,C04S0CI0F,,,V1B0002,V1B0010,C04S0AI02,C04S0BI02,C04S13I02,C04S09I02
3,X2C,C04S03I03,C04S0DI00,C04S0DI02,C04S0DI04,C04S0DI06,,,V1B0003,V1B0011,C04S0AI03,C04S0BI03,C04S13I03,C04S09I03
4,X23,,C04S0DI01,C04S0DI03,C04S0DI05,C04S0DI07,,,V1B0004,V1B0012,C04S0AI04,C04S0BI04,C04S13I04,C04S09I04
5,X27,,C04S0DI0F,C04S0DI0F,C04S0DI0F,C04S0DI0F,,,V1B0005,V1B0013,C04S0AI05,C04S0BI05,C04S13I05,C04S09I05
6,X2B,,C04S0EI00,C04S0EI08,C04S0EI10,C04S0EI18,,,V1B0006,V1B0014,C04S0AI06,C04S0BI06,C04S13I06,C04S09I06
7,X2F,,C04S0EI01,C04S0EI09,C04S0EI11,C04S0EI19,,,V1B0007,V1B0015,C04S0AI07,C04S0BI07,C04S13I07,C04S09I07
8,,,C04S0EI02,C04S0EI0A,C04S0EI12,C04S0EI1A,,,C04S11I09,C04S11I19,C04S0AI08,C04S0BI08,,C04S08I00
9,,,C04S0EI03,C04S0EI0B,C04S0EI13,C04S0EI1B,,,C04S11I0A,C04S11I1A,C04S0AI09,C04S0BI09,,C04S08I01
10,,,C04S0EI04,C04S0EI0C,C04S0EI14,C04S0EI1C,,,C04S11I0B,C04S11I1B,C04S0AI0A,C04S0BI0A,,C04S08I02
11,,,C04S0EI05,C04S0EI0D,C04S0EI15,C04S0EI1D,,,C04S11I0C,C04S11I1C,C04S0AI0B,C04S0BI0B,,C04S08I03
12,,,C04S0EI06,C04S0EI0E,C04S0EI16,C04S0EI1E,,,C04S11I0D,C04S11I1D,C04S0AI0C,C04S0BI0C,,C04S08I04
13,,,C04S0EI07,C04S0EI0F,C04S0EI17,C04S0EI1F,,,C04S0CI09,C04S0CI0C,C04S0AI0D,C04S0BI0D,,C04S08I05
14,,,C04S0FI00,C04S0FI08,C04S0FI10,C04S0FI18,,,C04S0CI0A,C04S0CI0D,C04S0AI0E,C04S0BI0E,,C04S08I06
15,,,C04S0FI01,C04S0FI09,C04S0FI11,C04S0FI19,,,C04S0CI0B,C04S0CI0E,C04S0AI0F,C04S0BI0F,,C04S08I07
16,C04S01I00,,C04S0FI02,C04S0FI0A,C04S0FI12,C04S0FI1A,,,C04S15I00,C04S21I00,C04S0AO10,C04S0BO10,,C04S08I08
17,C04S01I01,,C04S0FI03,C04S0FI0B,C04S0FI13,C04S0FI1B,,,C04S15I01,C04S21I01,C04S0AO11,C04S0BO11,,C04S08I09
18,,,C04S0FI04,C04S0FI0C,C04S0FI14,C04S0FI1C,,,C04S15I02,C04S21I02,C04S0AO12,C04S0BO12,,C04S08I0A
19,,,C04S0FI05,C04S0FI0D,C04S0FI15,C04S0FI1D,,,C04S15I03,C04S21I03,C04S0AO13,C04S0BO13,,C04S08I0B
